theta,mean_final_selection_prob,std_final_selection_prob
0,0.028888980381508333,0.0025523373226139586
1,0.050126782760199114,0.004769268642879701
2,0.08656748895199746,0.008709036098153463
3,0.08580706454718384,0.006779147056199993
4,0.08376360430224172,0.007664800861243509
5,0.0826962043343758,0.00994504478712605
6,0.0829728509534011,0.008712368943755764
7,0.08169418370094325,0.0055675212168236265
8,0.08316473079924849,0.007366067094466754
9,0.0819821450473337,0.008973753143407114
10,0.08155989330406391,0.011482510289465397
11,0.08088989128600912,0.019609846028651578
12,0.08988617963149416,0.023942418762628506
