theta,mean_final_selection_prob,std_final_selection_prob
0,0.028612995164552187,0.0026727193124400726
1,0.05003980880064305,0.0047925037891971565
2,0.08736523485646015,0.008257731771533274
3,0.08611441553711052,0.00609508436070257
4,0.08533886836935671,0.0077424695085691565
5,0.0845706437774291,0.010140677188629292
6,0.08388104716104892,0.008034509545075143
7,0.08261664809772644,0.005329669742628807
8,0.08609840579080728,0.010305080633714244
9,0.08415656576600258,0.009237174668340752
10,0.08123478459910123,0.010306699935120863
11,0.07903522659273016,0.017977576781162956
12,0.08093535548703165,0.02816825681336015
